car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
189,2,volkswagen dasher,gas,std,four,sedan,97.3,171.7,65.5,55.7,2300,four,109,3.19,3.4,10.0,100,5500,26,32,9995.0
190,3,vw dasher,gas,std,two,convertible,94.5,159.3,64.2,55.6,2254,four,109,3.19,3.4,8.5,90,5500,24,29,11595.0
191,3,vw rabbit,gas,std,two,hatchback,94.5,165.7,64.0,51.4,2221,four,109,3.19,3.4,8.5,90,5500,24,29,9980.0
192,0,volkswagen rabbit,gas,std,four,sedan,100.4,180.2,66.9,55.1,2661,five,136,3.19,3.4,8.5,110,5500,19,24,13295.0
193,0,volkswagen rabbit custom,diesel,turbo,four,sedan,100.4,180.2,66.9,55.1,2579,four,97,3.01,3.4,23.0,68,4500,33,38,13845.0
194,0,volkswagen dasher,gas,std,four,wagon,100.4,183.1,66.9,55.1,2563,four,109,3.19,3.4,9.0,88,5500,25,31,12290.0
195,-2,volvo 145e (sw),gas,std,four,sedan,104.3,188.8,67.2,56.2,2912,four,141,3.78,3.15,9.5,114,5400,23,28,12940.0
196,-1,volvo 144ea,gas,std,four,wagon,104.3,188.8,67.2,57.5,3034,four,141,3.78,3.15,9.5,114,5400,23,28,13415.0
197,-2,volvo 244dl,gas,std,four,sedan,104.3,188.8,67.2,56.2,2935,four,141,3.78,3.15,9.5,114,5400,24,28,15985.0
198,-1,volvo 245,gas,std,four,wagon,104.3,188.8,67.2,57.5,3042,four,141,3.78,3.15,9.5,114,5400,24,28,16515.0
199,-2,volvo 264gl,gas,turbo,four,sedan,104.3,188.8,67.2,56.2,3045,four,130,3.62,3.15,7.5,162,5100,17,22,18420.0
200,-1,volvo diesel,gas,turbo,four,wagon,104.3,188.8,67.2,57.5,3157,four,130,3.62,3.15,7.5,162,5100,17,22,18950.0
201,-1,volvo 145e (sw),gas,std,four,sedan,109.1,188.8,68.9,55.5,2952,four,141,3.78,3.15,9.5,114,5400,23,28,16845.0
202,-1,volvo 144ea,gas,turbo,four,sedan,109.1,188.8,68.8,55.5,3049,four,141,3.78,3.15,8.7,160,5300,19,25,19045.0
203,-1,volvo 244dl,gas,std,four,sedan,109.1,188.8,68.9,55.5,3012,six,173,3.58,2.87,8.8,134,5500,18,23,21485.0
204,-1,volvo 246,diesel,turbo,four,sedan,109.1,188.8,68.9,55.5,3217,six,145,3.01,3.4,23.0,106,4800,26,27,22470.0
205,-1,volvo 264gl,gas,turbo,four,sedan,109.1,188.8,68.9,55.5,3062,four,141,3.78,3.15,9.5,114,5400,19,25,22625.0
